x, y0
, 
um, um
100.059, -0.00505217
100.471, 0.0169661
100.882, 0.0401977
101.294, 0.0558317
101.706, 0.0912703
102.118, 0.0950915
102.529, 0.0888249
102.941, 0.109993
103.353, 0.0782202
103.765, 0.100221
104.176, 0.0977328
104.588, 0.144723
105, 0.163177
105.412, 0.155912
105.824, 0.130898
106.235, 0.120213
106.647, 0.0940256
107.059, 0.0471156
107.471, 0.012011
107.882, 0.0160605
108.294, 0.0301613
108.706, 0.0445513
109.118, 0.0735203
109.529, 0.0857851
109.941, 0.0851581
110.353, 0.063032
110.765, 0.064385
111.176, 0.0623248
111.588, 0.0712437
112, 0.0695596
112.412, 0.0567304
112.824, 0.0562901
113.235, 0.0633401
113.647, 0.0705109
114.059, 0.0924523
114.471, 0.110258
114.882, 0.1205
115.294, 0.119197
115.706, 0.097637
116.118, 0.100445
116.529, 0.0849304
116.941, 0.0923954
117.353, 0.100968
117.765, 0.0973742
118.176, 0.0812211
118.588, 0.0828975
119, 0.0736719
119.412, 0.0768303
119.824, 0.0893941
120.235, 0.0955933
120.647, 0.0880205
121.059, 0.0711984
121.471, 0.0664393
121.882, 0.0320061
122.294, 0.0252365
122.706, 0.0277394
123.118, 0.0352788
123.529, 0.0478781
123.941, 0.0815199
124.353, 0.107805
124.765, 0.115895
125.176, 0.117554
125.588, 0.103588
126, 0.0940611
126.412, 0.0989406
126.824, 0.0972943
127.235, 0.106507
127.647, 0.134524
128.059, 0.13244
128.471, 0.133077
128.882, 0.151879
129.294, 0.150776
129.706, 0.142092
130.118, 0.138594
130.529, 0.146607
130.941, 0.134999
131.353, 0.166435
131.765, 0.18544
132.176, 0.191252
132.588, 0.242537
133, 0.27659
133.412, 0.260193
133.824, 0.21703
134.235, 0.161286
134.647, 0.130259
135.059, 0.085485
135.471, 0.054786
135.882, 0.0537195
136.294, 0.0592424
136.706, 0.0626474
137.118, 0.0829517
137.529, 0.0774846
137.941, 0.0755307
138.353, 0.0602931
138.765, 0.079218
139.176, 0.0584665
139.588, 0.0379445
140, 0.0444708
140.412, 0.0337021
140.824, 0.0281227
141.235, 0.0274969
141.647, 0.028906
142.059, 0.0516958
142.471, 0.0619318
142.882, 0.0534727
143.294, 0.0160134
143.706, 0.00896427
144.118, 0.00199936
144.529, 0.0300589
144.941, 0.00143013
145.353, -0.0341322
145.765, -0.0317624
146.176, -0.0289629
146.588, -0.0163184
147, 0.00770541
147.412, 0.0234138
147.824, 0.0407067
148.235, 0.0465299
148.647, 0.0664632
149.059, 0.0468078
149.471, 0.0433744
149.882, 0.0474239
150.294, 0.048739
150.706, 0.0168791
151.118, -0.0101469
151.529, -0.00310299
151.941, -0.00108841
152.353, 0.0138168
152.765, 0.0538319
153.176, 0.0985076
153.588, 0.136673
154, 0.201941
154.412, 0.193104
154.824, 0.150304
155.235, 0.106989
155.647, 0.0886614
156.059, 0.0620469
156.471, 0.0741518
156.882, 0.138333
157.294, 0.178642
157.706, 0.169887
158.118, 0.171334
158.529, 0.171999
158.941, 0.160738
159.353, 0.136768
159.765, 0.107117
160.176, 0.107119
160.588, 0.0719257
161, 0.0601281
161.412, 0.0425931
161.824, 0.0183894
162.235, -0.00905404
162.647, -0.0175448
163.059, -0.0347527
163.471, -0.0610193
163.882, -0.0670114
164.294, -0.0643791
164.706, -0.046062
165.118, -0.0347787
165.529, -0.0251213
165.941, -0.0109717
166.353, -0.0186104
166.765, 0.017142
167.176, 0.00976689
167.588, -0.00036697
168, -0.014766
168.412, -0.00611565
168.824, -0.0151118
169.235, -0.0297757
169.647, -0.0268505
170.059, -0.0466438
170.471, -0.0641873
170.882, -0.0746239
171.294, -0.0914386
171.706, -0.0806509
172.118, -0.0658201
172.529, -0.0716742
172.941, -0.0735207
173.353, -0.0845616
173.765, -0.0670978
174.176, -0.0454531
174.588, -0.0402061
175, -0.0393365
175.412, -0.0176845
175.824, 0.010773
176.235, 0.0536701
176.647, 0.102639
177.059, 0.146056
177.471, 0.214562
177.882, 0.27251
178.294, 0.336881
178.706, 0.369462
179.118, 0.367623
179.529, 0.381619
179.941, 0.359868
180.353, 0.354884
180.765, 0.382719
181.176, 0.351319
181.588, 0.405951
182, 0.45925
182.412, 0.433798
182.824, 0.412527
183.235, 0.372605
183.647, 0.314675
184.059, 0.280184
184.471, 0.231374
184.882, 0.217553
185.294, 0.187589
185.706, 0.253183
186.118, 0.244984
186.529, 0.24923
186.941, 0.244216
187.353, 0.264448
187.765, 0.301472
188.176, 0.274756
188.588, 0.244111
189, 0.214474
189.412, 0.181691
189.824, 0.145061
190.235, 0.141142
190.647, 0.168734
191.059, 0.158555
191.471, 0.136535
191.882, 0.118284
192.294, 0.132609
192.706, 0.116463
193.118, 0.0880757
193.529, 0.0989013
193.941, 0.117141
194.353, 0.0780647
194.765, 0.066986
195.176, 0.0487614
195.588, 0.0354122
196, -0.00059694
196.412, -0.0110555
196.824, -0.0243974
197.235, -0.0729822
197.647, -0.0994551
198.059, -0.0855289
198.471, -0.0951013
198.882, -0.0848543
199.294, -0.124373
199.706, -0.11702
200.118, -0.106054
200.529, -0.0634061
200.941, -0.047567
201.353, -0.0241206
201.765, -0.00815945
202.176, -0.00379868
202.588, -0.0137836
203, -0.0404519
203.412, -0.0468321
203.824, -0.052309
204.235, -0.0321914
204.647, -0.001616
205.059, -0.00523253
205.471, -0.0157924
205.882, -0.0256455
206.294, -0.0507464
206.706, -0.0812453
207.118, -0.0985153
207.529, -0.0964471
207.941, -0.114871
208.353, -0.14974
208.765, -0.151653
209.176, -0.12606
209.588, -0.107059
210, -0.112026
210.412, -0.119926
210.824, -0.135365
211.235, -0.155411
211.647, -0.1578
212.059, -0.144724
212.471, -0.123998
212.882, -0.120272
213.294, -0.125706
213.706, -0.124095
214.118, -0.143291
214.529, -0.170429
214.941, -0.168366
215.353, -0.168302
215.765, -0.159038
216.176, -0.172315
216.588, -0.180271
217, -0.169857
217.412, -0.142774
217.824, -0.103119
218.235, -0.0829584
218.647, -0.0854702
219.059, -0.0872252
219.471, -0.0739118
219.882, -0.055956
220.294, -0.0612632
220.706, -0.0334369
221.118, -0.0162111
221.529, -0.0128098
221.941, 0.0202778
222.353, 0.0386693
222.765, 0.00823026
223.176, 0.00496773
223.588, -0.0525404
224, -0.0600278
224.412, -0.031801
224.824, -0.0132423
225.235, -0.0298263
225.647, -0.0243303
226.059, -0.039209
226.471, -0.015433
226.882, -0.0250016
227.294, -0.0543762
227.706, -0.0531698
228.118, -0.0732548
228.529, -0.0529309
228.941, -0.0656319
229.353, -0.0690079
229.765, -0.0579235
230.176, -0.0507356
230.588, -0.0400931
231, -0.038142
231.412, -0.0252021
231.824, -0.00128204
232.235, -0.0158849
232.647, -0.0114387
233.059, -0.0370877
233.471, -0.0613878
233.882, -0.0932746
234.294, -0.108893
234.706, -0.110123
235.118, -0.106583
235.529, -0.10709
235.941, -0.0874534
236.353, -0.0431549
236.765, -0.036808
237.176, -0.0455454
237.588, -0.0138714
238, 0.0149022
238.412, 0.0125955
238.824, -0.00226249
239.235, 0.00276723
239.647, -0.0359836
240.059, -0.034926
240.471, -0.0796021
240.882, -0.0923605
241.294, -0.111315
241.706, -0.110238
242.118, -0.119222
242.529, -0.138125
242.941, -0.116326
243.353, -0.13309
243.765, -0.13665
244.176, -0.137994
244.588, -0.123598
245, -0.087681
245.412, -0.0876562
245.824, -0.0770991
246.235, -0.0927408
246.647, -0.107103
247.059, -0.132471
247.471, -0.139934
247.882, -0.168362
248.294, -0.173078
248.706, -0.192318
249.118, -0.194523
249.529, -0.21178
249.941, -0.231575
250.353, -0.210132
250.765, -0.207809
251.176, -0.195659
251.588, -0.172494
252, -0.150101
252.412, -0.135325
252.824, -0.146267
253.235, -0.153338
253.647, -0.157811
254.059, -0.166565
254.471, -0.178501
254.882, -0.167395
255.294, -0.146145
255.706, -0.122023
256.118, -0.11944
256.529, -0.132462
256.941, -0.140142
257.353, -0.163254
257.765, -0.146042
258.176, -0.158005
258.588, -0.145186
259, -0.156873
259.412, -0.125125
259.824, -0.109724
260.235, -0.035771
260.647, 0.0296957
261.059, 0.0345106
261.471, 0.0178606
261.882, -0.0150577
262.294, -0.0107592
262.706, -0.0462202
263.118, -0.100802
263.529, -0.151158
263.941, -0.195114
264.353, -0.219981
264.765, -0.22173
265.176, -0.215661
265.588, -0.206449
266, -0.189095
266.412, -0.168299
266.824, -0.19501
267.235, -0.217009
267.647, -0.217194
268.059, -0.235222
268.471, -0.224507
268.882, -0.213506
269.294, -0.237131
269.706, -0.232707
270.118, -0.254625
270.529, -0.279293
270.941, -0.274283
271.353, -0.271797
271.765, -0.261397
272.176, -0.263852
272.588, -0.257773
273, -0.233163
273.412, -0.225557
273.824, -0.220054
274.235, -0.220089
274.647, -0.217395
275.059, -0.210824
275.471, -0.234088
275.882, -0.238112
276.294, -0.244634
276.706, -0.233508
277.118, -0.195461
277.529, -0.196769
277.941, -0.178182
278.353, -0.169177
278.765, -0.1722
279.176, -0.163597
279.588, -0.146015
280, -0.129054
280.412, -0.125287
280.824, -0.122217
281.235, -0.124419
281.647, -0.12147
282.059, -0.117054
282.471, -0.168601
282.882, -0.172225
283.294, -0.19345
283.706, -0.198262
284.118, -0.187793
284.529, -0.179941
284.941, -0.193583
285.353, -0.209664
285.765, -0.220735
286.176, -0.246709
286.588, -0.237168
287, -0.217992
287.412, -0.203453
287.824, -0.224159
288.235, -0.242247
288.647, -0.194878
289.059, -0.209323
289.471, -0.192702
289.882, -0.173395
290.294, -0.159762
290.706, -0.18347
291.118, -0.206465
291.529, -0.193227
291.941, -0.206958
292.353, -0.239993
292.765, -0.24824
293.176, -0.270608
293.588, -0.274961
294, -0.291074
294.412, -0.280426
294.824, -0.271188
295.235, -0.241129
295.647, -0.223324
296.059, -0.220754
296.471, -0.166619
296.882, -0.120458
297.294, -0.084525
297.706, -0.0956012
298.118, -0.146924
298.529, -0.133865
298.941, -0.177845
299.353, -0.182445
299.765, -0.19427
300.176, -0.200025
300.588, -0.204358
301, -0.235721
301.412, -0.252941
301.824, -0.244169
302.235, -0.253177
302.647, -0.218291
