x, y
,
N,mkm
400,-9.07117
401,-9.15509
402,-9.12449
403,-9.00478
404,-8.88714
405,-8.83413
406,-8.84652
407,-8.9179
408,-9.63037
409,-10.28795
410,-11.01856
411,-11.80536
412,-11.785
413,-11.84915
414,-11.96684
415,-12.02544
416,-11.99241
417,-11.92131
418,-11.89638
419,-11.9716
420,-12.12305
421,-12.28215
422,-12.39998
423,-12.46783
424,-12.50144
425,-12.53269
426,-12.60998
427,-12.78553
428,-13.02896
429,-13.19474
430,-13.27105
431,-13.3892
432,-13.75604
433,-14.05589
434,-14.2074
435,-14.3667
436,-14.66157
437,-14.95743
438,-15.09739
439,-15.09352
440,-15.08386
441,-15.13288
442,-15.24409
443,-15.67258
444,-15.91507
445,-16.12336
446,-16.18721
447,-16.26215
448,-16.32364
449,-16.23433
450,-16.24266
451,-16.34981
452,-16.53108
453,-16.73191
454,-16.92062
455,-17.05439
456,-17.09347
457,-17.05359
458,-16.96884
459,-16.86834
460,-16.80304
461,-16.83557
462,-17.0299
463,-17.50946
464,-18.20877
465,-18.2521
466,-17.80783
467,-17.42167
468,-17.179
469,-18.36273
470,-19.06064
471,-20.04874
472,-21.81964
473,-24.47181
474,-23.56031
475,-22.64591
476,-21.98105
477,-21.88199
478,-22.43126
479,-23.42743
480,-24.30095
481,-25.22586
482,-26.96108
483,-27.09994
484,-25.40298
485,-23.52326
486,-21.07932
487,-18.7421
488,-18.31111
489,-17.86224
490,-17.39182
491,-17.12447
492,-17.02286
493,-17.04754
494,-20.05959
495,-21.53281
496,-22.99944
497,-23.87325
498,-26.10402
499,-25.27405
500,-23.5368
501,-22.18852
502,-21.2112
503,-20.36971
504,-19.16514
505,-19.36034
506,-19.21713
507,-18.86875
508,-18.66006
509,-18.2594
510,-18.24516
511,-18.35101
512,-18.45098
513,-18.45731
514,-18.35724
515,-18.17534
516,-17.96702
517,-17.83547
518,-17.87902
519,-19.13675
520,-20.2528
521,-21.06575
522,-21.67061
523,-21.8442
524,-21.89175
525,-22.02478
526,-22.21518
527,-22.37423
528,-22.40692
529,-22.3678
530,-22.2894
531,-21.98489
532,-21.65006
533,-21.12527
534,-20.67068
535,-19.97417
536,-20.0222
537,-19.83106
538,-19.62203
539,-19.35862
540,-19.088
541,-18.69709
542,-18.42504
543,-18.54264
544,-18.78346
545,-18.89744
546,-18.09413
547,-17.61124
548,-16.97481
549,-16.56479
550,-16.18187
551,-16.13727
552,-15.96256
553,-15.36814
554,-14.79528
555,-14.53564
556,-14.51287
557,-14.57135
558,-14.5082
559,-14.46582
560,-14.42864
561,-14.27756
562,-14.1197
563,-13.96637
564,-13.83321
565,-13.70404
566,-13.65767
567,-13.61342
568,-13.58226
569,-13.81936
570,-14.08262
571,-14.32257
572,-14.52216
573,-13.80608
574,-13.22003
575,-12.76337
576,-12.25984
577,-11.67933
578,-11.02495
579,-10.4974
580,-9.53067
581,-10.10439
582,-10.55472
583,-10.68804
584,-10.62999
585,-10.5568
586,-10.58566
587,-10.7556
588,-11.01371
589,-11.20713
590,-11.25015
591,-11.15723
592,-10.95436
593,-10.72214
594,-10.57157
595,-10.54047
596,-10.62669
597,-10.81809
598,-11.04293
599,-11.21956
600,-11.31277
601,-11.29447
602,-11.34717
603,-11.34986
604,-11.91139
605,-12.39201
606,-13.22836
607,-13.94295
608,-14.72329
609,-14.96214
610,-15.37262
611,-15.35673
612,-15.44044
613,-15.56666
614,-15.54702
615,-15.63352
616,-15.5665
617,-15.50639
618,-15.37886
619,-15.36537
620,-14.93537
621,-15.01262
622,-16.31911
623,-17.22629
624,-18.17673
625,-19.18543
626,-20.13528
627,-20.98744
628,-21.5226
629,-21.79269
630,-21.86094
631,-21.91261
632,-22.02713
633,-22.3627
634,-22.48532
635,-22.0801
636,-21.93869
637,-21.82636
638,-21.8143
639,-21.76917
640,-21.84642
641,-21.83229
642,-21.69278
643,-21.46566
644,-21.25666
645,-21.04566
646,-20.67347
647,-20.45156
648,-20.32074
649,-20.34274
650,-20.40492
651,-20.43715
652,-20.37749
653,-20.20118
654,-20.33391
655,-20.47951
656,-20.50695
657,-20.571
658,-20.46669
659,-20.33383
660,-20.24071
661,-20.24864
662,-20.58174
663,-20.69307
664,-20.76444
665,-20.77783
666,-20.81016
667,-20.85316
668,-20.92137
669,-21.0092
670,-21.14564
671,-21.07161
672,-20.93071
673,-20.59007
674,-20.02346
675,-19.61316
676,-19.39512
677,-19.38823
678,-19.49716
679,-19.53062
680,-19.44858
681,-19.27053
682,-19.02772
683,-18.02291
684,-17.2388
685,-16.70779
686,-16.16387
687,-16.17542
688,-16.12879
689,-15.96923
690,-15.73973
691,-15.49546
692,-15.31712
693,-15.23949
694,-15.24698
695,-15.28093
696,-15.3172
697,-15.36533
698,-15.4115
699,-15.42067
700,-15.38166
701,-15.32928
702,-15.30356
703,-15.31406
704,-15.34898
705,-15.39084
706,-15.43448
707,-15.49784
708,-15.59214
709,-15.69669
710,-15.77201
711,-15.80461
712,-15.83471
713,-15.89565
714,-15.96319
715,-16.38605
716,-16.58045
717,-16.71132
718,-16.87739
719,-17.0488
720,-17.24119
721,-17.27299
722,-17.26839
723,-17.19295
724,-17.12689
725,-17.00697
726,-16.80298
727,-16.88392
728,-16.91347
729,-16.88335
730,-16.78915
731,-16.61454
732,-16.39368
733,-16.20662
734,-16.06993
735,-15.94724
736,-15.83101
737,-15.85806
738,-15.78119
739,-15.80737
740,-15.77773
741,-15.79163
742,-15.71059
743,-15.6855
744,-15.69732
745,-15.71903
746,-15.72758
747,-15.71424
748,-15.68522
749,-15.63549
750,-15.54409
751,-15.41395
752,-15.28757
753,-15.21268
754,-15.20854
755,-15.1895
756,-14.14434
757,-13.38613
758,-12.20024
759,-12.47279
760,-12.41121
761,-12.39189
762,-12.32847
763,-12.60177
764,-13.21544
765,-13.6227
766,-13.91928
767,-14.11225
768,-14.25065
769,-14.31927
770,-14.211
771,-13.97309
772,-13.6009
773,-12.94708
774,-12.8034
775,-12.76868
776,-12.79058
777,-13.24955
778,-13.41654
779,-13.33544
780,-13.11057
781,-12.69838
782,-12.41056
783,-12.39827
784,-12.41049
785,-12.29795
786,-12.03291
787,-11.75809
788,-11.34938
789,-11.47499
790,-11.99101
791,-12.34087
792,-12.56433
793,-12.49491
794,-12.30977
795,-12.02319
796,-12.46122
797,-12.23006
798,-9.68256
799,-7.77719
800,-6.42721
801,-5.11498
802,-4.12607
803,-3.31297
804,-2.72805
805,-2.35707
806,-0.71216
807,0.87071
808,2.8647
809,3.47655
810,4.38252
811,6.18566
812,4.49812
813,4.46497
814,4.99889
815,5.97795
816,7.40684
817,7.43175
818,7.23653
819,7.16726
820,7.11905
821,7.07337
822,7.06942
823,7.03062
824,7.01419
825,6.74706
826,6.55638
827,6.30288
828,5.89791
829,5.42485
830,5.17314
831,5.07157
832,5.47422
833,5.84293
834,6.57984
835,6.68935
836,6.64183
837,6.47554
838,6.48555
839,6.36785
840,6.21437
841,6.07314
842,6.00138
843,6.41969
844,6.68087
845,7.00649
846,7.30703
847,7.74021
848,8.26341
849,8.58118
850,8.81106
851,9.05677
852,9.14219
853,9.25939
854,9.30012
855,9.27565
856,9.23793
857,9.20778
858,9.18508
859,9.15617
860,9.08747
861,8.96922
862,8.86522
863,8.84269
864,8.90896
865,8.97874
866,8.81474
867,8.46938
868,8.31115
869,8.31643
870,8.40488
871,8.72726
872,9.12867
873,9.62353
874,10.24771
875,10.12843
876,9.9426
877,9.85912
878,9.88758
879,9.95317
880,10.03086
881,10.09416
882,10.25764
883,10.4144
884,10.6188
885,11.19561
886,10.62872
887,10.54817
888,10.55354
889,10.73882
890,11.01876
891,11.54412
892,11.90174
893,12.20146
894,12.2634
895,12.829
896,13.52667
897,14.02375
898,14.66358
899,14.62033
900,14.5016
901,16.20773
902,18.29656
903,19.34442
904,19.77189
905,20.37561
906,20.90466
907,21.7508
908,22.02155
909,22.0868
910,21.97932
911,21.69366
912,21.37536
913,21.12105
914,20.89508
915,20.79495
916,20.78442
917,20.85443
918,20.97577
919,21.11165
920,21.31725
921,21.47945
922,22.21368
923,22.83543
924,23.5916
925,24.13055
926,24.62704
927,25.04433
928,25.44112
929,25.78742
930,25.97301
931,26.13455
932,26.19721
933,26.18844
934,26.09153
935,26.26911
936,26.23545
937,26.76362
938,27.03447
939,27.3693
940,27.71126
941,27.98517
942,28.201
943,28.47696
944,28.9477
945,28.93941
946,28.84929
947,28.16298
948,27.69251
949,27.29393
950,27.15914
951,27.16886
952,27.26244
953,27.38719
954,27.63813
955,28.27572
956,29.12295
957,30.17398
958,31.02971
959,31.75688
960,32.26261
961,32.92973
962,32.5386
963,32.52011
964,32.50938
965,32.59446
966,32.74218
967,32.90467
968,32.9725
969,32.77165
